Data Import Template,,,
Table:,Course,,
,,,
,,,
Notes:,,,
Please do not change the template headings.,,,
First data column must be blank.,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,
"For updating, you can update only selective columns.",,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,
,,,
DocType:,Course,,~
Column Labels:,Course Name,Parent,
Column Name:,course_name,parent,~
Mandatory:,Yes,No,
Type:,Data,Link,
Info:,,Valid Course,
Start entering data below this line,,,
,General English ,English,
,Conversation,English,
,Placement Test,English,
,Membership,English,
,Business English - Bulats ,English,
,Placement Test - Business English,English,
,Certificats,English,
,German,Second Languages,
,Italian,Second Languages,
,Spanish,Second Languages,
,Turkish,Second Languages,
,Arabic,Second Languages,
,Russian,Second Languages,
,Placement Test,Second Languages,
,Membership,Second Languages,
,Certificats,Second Languages,
,IELTS,English for special Purposes,
,Toefl,English for special Purposes,
,Business MGT,Management,
,Marketing Diploma,Management,
,E-Marketing Diploma,Management,
,HR Diploma ,Management,
,PMP,Management,
,Supply Chain,Management,
,Hosiptal Management,Management,
,School Adminstration,Management,
,Customer Service,Management,
,Performance Management,Management,
,Sales Management,Management,
,Membership,Management,
,ICDL ,IT Courses,
,ICDL  - Exam ,IT Courses,
,ICDL  - Exam - NEN,IT Courses,
,Autocade ,IT Courses,
,3D Max,IT Courses,
,Photo Shop,IT Courses,
,Adobe in Design,IT Courses,
,illustrator,IT Courses,
,CCNA,IT Courses,
,After Effect,IT Courses,
,Preimavera,IT Courses,
,Graphic,IT Courses,
,Rivet,IT Courses,
,Swish max,IT Courses,
,Montessori,Teaching,
,Montessori - English ,Teaching,
,TEFL,Teaching,
,Advanced Child Psychology,Teaching,
,Math Diploma,Teaching,
,Science Diploma,Teaching,
,Training Diploma - TOT,Teaching,
,ADHD,Teaching,
,YL Teachers Certificate,Teaching,
,Admission Test,Teaching,
,English for Kids,Kids,
,Other Language for Kids,Kids,
,Summer School,Kids,
,Mid Year,Kids,
