Data Import Template,,,,,
Table:,Department,,,,
,,,,,
,,,,,
Notes:,,,,,
Please do not change the template headings.,,,,,
First data column must be blank.,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,
"For updating, you can update only selective columns.",,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,
,,,,,
DocType:,Department,,,~,~
Column Labels:,Department,Company,Parent Department,,
Column Name:,department_name,company,parent_department,~,~
Mandatory:,Yes,Yes,No,,
Type:,Data,Link,Link,,
Info:,,Valid Company,Valid Department,,
Start entering data below this line,,,,,
,الموارد البشرية,Head Office,All Departments Head Office - MB,,
,الحسابات ,Head Office,All Departments Head Office - MB,,
,الشئون القانونية,Head Office,All Departments Head Office - MB,,
,السكرتارية,Head Office,All Departments Head Office - MB,,
,الشئون الادارية,Head Office,All Departments Head Office - MB,,
,الدعم الفنى,Head Office,All Departments Head Office - MB,,
,العمليات,Head Office,All Departments Head Office - MB,,
,المبيعات,Head Office,All Departments Head Office - MB,,
,مبيعات خارجية,Head Office,All Departments Head Office - MB,,
,التنسيق,Head Office,All Departments Head Office - MB,,
,محاضر,Head Office,All Departments Head Office - MB,,
,الحضانة,Head Office,All Departments Head Office - MB,,
,الموارد البشرية,EL Shikh Zaid,All Departments EL Shikh Zaid - bb,,
,الحسابات ,EL Shikh Zaid,All Departments EL Shikh Zaid - bb,,
,الشئون القانونية,EL Shikh Zaid,All Departments EL Shikh Zaid - bb,,
,السكرتارية,EL Shikh Zaid,All Departments EL Shikh Zaid - bb,,
,الشئون الادارية,EL Shikh Zaid,All Departments EL Shikh Zaid - bb,,
,الدعم الفنى,EL Shikh Zaid,All Departments EL Shikh Zaid - bb,,
,العمليات,EL Shikh Zaid,All Departments EL Shikh Zaid - bb,,
,المبيعات,EL Shikh Zaid,All Departments EL Shikh Zaid - bb,,
,مبيعات خارجية,EL Shikh Zaid,All Departments EL Shikh Zaid - bb,,
,التنسيق,EL Shikh Zaid,All Departments EL Shikh Zaid - bb,,
,محاضر,EL Shikh Zaid,All Departments EL Shikh Zaid - bb,,
,الحضانة,EL Shikh Zaid,All Departments EL Shikh Zaid - bb,,
