Data Import Template,,,,
Table:,Instructor,,,
,,,,
,,,,
Notes:,,,,
Please do not change the template headings.,,,,
First data column must be blank.,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,
"For updating, you can update only selective columns.",,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,
,,,,
DocType:,Instructor,,,instructor_log
Column Labels:,Instructor Name,Employee,Company,
Column Name:,instructor_name,employee,company,~
Mandatory:,Yes,Yes,No,
Type:,Data,Link,Link,
Info:,,Valid Employee,Valid Company,
Start entering data below this line,,,,
,محمد مصطفي ابراهيم,HR-EMP-00046,كل الفروع,
,سمر سعد,HR-EMP-00047,كل الفروع,
,اسراء محمد احمد,HR-EMP-00048,كل الفروع,
,محمد وحيد,HR-EMP-00049,كل الفروع,
,عبد العزيز سعيد عبد العزيز,HR-EMP-00050,كل الفروع,
,ياسر ابراهيم,HR-EMP-00051,كل الفروع,
,حسين مصطفي,HR-EMP-00052,كل الفروع,
,سلمي مجدي,HR-EMP-00053,كل الفروع,
,ايه مصطفي انيس,HR-EMP-00054,كل الفروع,
,نورهان عبدالجواد,HR-EMP-00055,كل الفروع,
,,,,
,,,,
,ريم أحمد رجائي,HR-EMP-00056,كل الفروع,
,ماري فؤاد زكري,HR-EMP-00057,كل الفروع,
,احمد محمد فهمى,HR-EMP-00058,كل الفروع,
,,,,
,مي عزت,HR-EMP-00059,كل الفروع,
,خلود ايهاب احمد,HR-EMP-00060,كل الفروع,
,خلاد السيد,HR-EMP-00061,كل الفروع,
,تقي محمد,HR-EMP-00062,كل الفروع,
,,,,
,,,,
,,,,
,محمود عنتر,HR-EMP-00063,كل الفروع,
,شيماء اسامه مصطفي,HR-EMP-00064,كل الفروع,
,صادق عبدالله,HR-EMP-00065,كل الفروع,
,اسماء سعيد محمد,HR-EMP-00066,كل الفروع,
,ياسمين السيد,HR-EMP-00067,كل الفروع,
,هشام شعراوي,HR-EMP-00068,كل الفروع,
,خالد ابودره,HR-EMP-00069,كل الفروع,
,,,,
,نهلة المعداوي,HR-EMP-00070,كل الفروع,
,,,,
,محمد ابراهيم,HR-EMP-00071,كل الفروع,
,,,,
,وسام محمود,HR-EMP-00072,كل الفروع,
,,,,
,اسماء ناصر,HR-EMP-00073,كل الفروع,
,وائل الشيخ,HR-EMP-00074,كل الفروع,
,عمر عبد العزيز,HR-EMP-00075,كل الفروع,
,ليليان فيكتور,HR-EMP-00076,كل الفروع,
,ميادة احمد,HR-EMP-00077,كل الفروع,
,مروة السيد,HR-EMP-00078,كل الفروع,
,احمد جابر,HR-EMP-00079,كل الفروع,
,ايمان عاطف,HR-EMP-00080,كل الفروع,
,عنان,HR-EMP-00081,كل الفروع,
,ايمان عاطف حسن,HR-EMP-00082,كل الفروع,
,مروه محمود ابراهيم,HR-EMP-00083,كل الفروع,
,نهير بهاء,HR-EMP-00084,كل الفروع,
,,,,
,سلمي الورداني,HR-EMP-00085,كل الفروع,
,,,,
,محمد احمد حسن,HR-EMP-00086,كل الفروع,
,,,,
,,,,
,ثروت محمد عكاشه,HR-EMP-00087,كل الفروع,
,اشرقت رجائي,HR-EMP-00088,كل الفروع,
,ساره طارق,HR-EMP-00089,كل الفروع,
,احمد سمير,HR-EMP-00090,كل الفروع,
,ممدوح مصطفى,HR-EMP-00091,كل الفروع,
,منه الله صلاح الدين حجازى,HR-EMP-00092,كل الفروع,
,ماريهان اكسم,HR-EMP-00093,كل الفروع,
,مارينا رأفت,HR-EMP-00094,كل الفروع,
,على محمد محمد حسن,HR-EMP-00095,كل الفروع,
,ايهاب منصور,HR-EMP-00096,كل الفروع,
,,,,
,نسمة,HR-EMP-00097,كل الفروع,
,على مصطفى,HR-EMP-00098,كل الفروع,
,محمد كساب,HR-EMP-00099,كل الفروع,
,قاسم محمد قاسم,HR-EMP-00100,كل الفروع,
,,,,
,محمد كامل منسى,HR-EMP-00101,كل الفروع,
,سارة عادل,HR-EMP-00102,كل الفروع,
,سارة عادل,HR-EMP-00103,كل الفروع,
,عاكف ابراهيم عبدالله,HR-EMP-00104,كل الفروع,
,صفا ابراهيم,HR-EMP-00105,كل الفروع,
,,,,
,شريف بشارى,HR-EMP-00106,كل الفروع,
,محمد حسين,HR-EMP-00107,كل الفروع,
,عماد حمدى,HR-EMP-00108,كل الفروع,
