Data Import Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table:,Salary Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DocType:,Salary Structure,,,,,,,,,,,~,Salary Detail,earnings,,,,,,,,,,,,,,~,Salary Detail,deductions,,,,,,,,,,,,,
Column Labels:,ID,Company,Is Active,Letter Head,Payroll Frequency,Salary Slip Based on Timesheet,Salary Component,Hour Rate,Mode of Payment,Payment Account,Amended From,,Component,Abbr,Statistical Component,Is Tax Applicable,Is Flexible Benefit,Variable Based On Taxable Salary,Depends on Leave Without Pay,Condition,Amount based on formula,Formula,Amount,Do not include in total,Default Amount,Tax on flexible benefit,Tax on additional salary,,Component,Abbr,Statistical Component,Is Tax Applicable,Is Flexible Benefit,Variable Based On Taxable Salary,Depends on Leave Without Pay,Condition,Amount based on formula,Formula,Amount,Do not include in total,Default Amount,Tax on flexible benefit,Tax on additional salary
Column Name:,name,company,is_active,letter_head,payroll_frequency,salary_slip_based_on_timesheet,salary_component,hour_rate,mode_of_payment,payment_account,amended_from,~,salary_component,abbr,statistical_component,is_tax_applicable,is_flexible_benefit,variable_based_on_taxable_salary,depends_on_lwp,condition,amount_based_on_formula,formula,amount,do_not_include_in_total,default_amount,tax_on_flexible_benefit,tax_on_additional_salary,~,salary_component,abbr,statistical_component,is_tax_applicable,is_flexible_benefit,variable_based_on_taxable_salary,depends_on_lwp,condition,amount_based_on_formula,formula,amount,do_not_include_in_total,default_amount,tax_on_flexible_benefit,tax_on_additional_salary
Mandatory:,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Type:,Data,Link,Select,Link,Select,Check,Link,Currency,Link,Link,Link,,Link,Data,Check,Check,Check,Check,Check,Code,Check,Code,Currency,Check,Currency,Currency,Currency,,Link,Data,Check,Check,Check,Check,Check,Code,Check,Code,Currency,Check,Currency,Currency,Currency
Info:,,Valid Company,"One of: Yes, No",Valid Letter Head,"One of: Monthly, Fortnightly, Bimonthly, Weekly, Daily",0 or 1,Valid Salary Component,,Valid Mode of Payment,Valid Account,Valid Salary Structure,,Valid Salary Component,,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,,0 or 1,,,0 or 1,,,,,Valid Salary Component,,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,,0 or 1,,,0 or 1,,,
Start entering data below this line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,عماد عبدالصبور على,الرئيسى,Yes,,Monthly,0,,,Cash,,,,Basic,B,,,,,,,,base,,,,,,,Insurance,I,,,,,,,,,,,,,
,,,,,,,,,,,,,Variable,V,,,,,,,,variable ,,,,,,,Lates,La,,,,,,,,,,,,,
,,,,,,,,,,,,,Transport,T,,,,,,,,,,,,,,,Leave without pay,LWP,,,,,,,,,,,,,
,,,,,,,,,,,,,Additional,Ad,,,,,,,,,,,,,,,Absent,AB,,,,,,,,,,,,,
,كريم سمهان عبدالعليم,الرئيسى,Yes,,Monthly,0,,,Cash,,,,Basic,B,,,,,,,,base,,,,,,,Insurance,I,,,,,,,,,,,,,
,,,,,,,,,,,,,Variable,V,,,,,,,,variable ,,,,,,,Lates,La,,,,,,,,,,,,,
,,,,,,,,,,,,,Transport,T,,,,,,,,,,,,,,,Leave without pay,LWP,,,,,,,,,,,,,
,,,,,,,,,,,,,Additional,Ad,,,,,,,,,,,,,,,Absent,AB,,,,,,,,,,,,,
,اسلام حسن عبدالمطلب,الرئيسى,Yes,,Monthly,0,,,Cash,,,,Basic,B,,,,,,,,base,,,,,,,Insurance,I,,,,,,,,,,,,,
,,,,,,,,,,,,,Variable,V,,,,,,,,variable ,,,,,,,Lates,La,,,,,,,,,,,,,
,,,,,,,,,,,,,Transport,T,,,,,,,,,,,,,,,Leave without pay,LWP,,,,,,,,,,,,,
,,,,,,,,,,,,,Additional,Ad,,,,,,,,,,,,,,,Absent,AB,,,,,,,,,,,,,
,مصطفى خميس عبدالهادى,الرئيسى,Yes,,Monthly,0,,,Cash,,,,Basic,B,,,,,,,,base,,,,,,,Insurance,I,,,,,,,,,,,,,
,,,,,,,,,,,,,Variable,V,,,,,,,,variable ,,,,,,,Lates,La,,,,,,,,,,,,,
,,,,,,,,,,,,,Transport,T,,,,,,,,,,,,,,,Leave without pay,LWP,,,,,,,,,,,,,
,,,,,,,,,,,,,Additional,Ad,,,,,,,,,,,,,,,Absent,AB,,,,,,,,,,,,,
,مصطفى عبدالهادى عبدالهادى,الرئيسى,Yes,,Monthly,0,,,Cash,,,,Basic,B,,,,,,,,base,,,,,,,Insurance,I,,,,,,,,,,,,,
