"Data Import Template","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Table:","Salary Structure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Please do not change the template headings.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"First data column must be blank.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"If you are uploading new records, leave the ""name"" (ID) column blank.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"For updating, you can update only selective columns.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"You can only upload upto 5000 records in one go. (may be less in some cases)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DocType:","Salary Structure","","","","","","","","","","","","","~","Salary Detail","earnings","","","","","","","","","","","","","","","~","Salary Detail","deductions","","","","","","","","","","","","","",""
"Column Labels:","ID","Company","Is Active","Letter Head","Payroll Frequency","Salary Slip Based on Timesheet","Salary Component","Hour Rate","Leave Encashment Amount Per Day","Max Benefits (Amount)","Mode of Payment","Payment Account","Amended From","","ID","Component","Abbr","Statistical Component","Is Tax Applicable","Is Flexible Benefit","Variable Based On Taxable Salary","Depends on Leave Without Pay","Condition","Amount based on formula","Formula","Amount","Do not include in total","Default Amount","Tax on flexible benefit","Tax on additional salary","","ID","Component","Abbr","Statistical Component","Is Tax Applicable","Is Flexible Benefit","Variable Based On Taxable Salary","Depends on Leave Without Pay","Condition","Amount based on formula","Formula","Amount","Do not include in total","Default Amount","Tax on flexible benefit","Tax on additional salary"
"Column Name:","name","company","is_active","letter_head","payroll_frequency","salary_slip_based_on_timesheet","salary_component","hour_rate","leave_encashment_amount_per_day","max_benefits","mode_of_payment","payment_account","amended_from","~","name","salary_component","abbr","statistical_component","is_tax_applicable","is_flexible_benefit","variable_based_on_taxable_salary","depends_on_lwp","condition","amount_based_on_formula","formula","amount","do_not_include_in_total","default_amount","tax_on_flexible_benefit","tax_on_additional_salary","~","name","salary_component","abbr","statistical_component","is_tax_applicable","is_flexible_benefit","variable_based_on_taxable_salary","depends_on_lwp","condition","amount_based_on_formula","formula","amount","do_not_include_in_total","default_amount","tax_on_flexible_benefit","tax_on_additional_salary"
"Mandatory:","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Type:","Data","Link","Select","Link","Select","Check","Link","Currency","Currency","Currency","Link","Link","Link","","Data","Link","Data","Check","Check","Check","Check","Check","Code","Check","Code","Currency","Check","Currency","Currency","Currency","","Data","Link","Data","Check","Check","Check","Check","Check","Code","Check","Code","Currency","Check","Currency","Currency","Currency"
"Info:","","Valid Company","One of: Yes, No","Valid Letter Head","One of: Monthly, Fortnightly, Bimonthly, Weekly, Daily","0 or 1","Valid Salary Component","","","","Valid Mode of Payment","Valid Account","Valid Salary Structure","","","Valid Salary Component","","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","","0 or 1","","","0 or 1","","","","","","Valid Salary Component","","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","","0 or 1","","","0 or 1","","",""
"Start entering data below this line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Month""","الرئيسى","Yes","","Monthly","0","","0","0","20000","","","","","""49da2d605d""","Basic","B","0","1","0","0","0","","1","base","0","0","0","0","0","","""c47393c6bc""","Absent","AB","0","0","0","0","0","","1","absent_days*((B+V)/30)","0","0","0","0","0"
"","","","","","","","","","","","","","","","""ce4208393d""","Variable","V","0","1","0","0","0","","1","variable","0","0","0","0","0","","""440e6a3a49""","Lates","La","0","0","0","0","0","","1","(((B+V)/30)*attendance_deduction_days)+ attendance_deduction_amount","0","0","0","0","0"
"","","","","","","","","","","","","","","","""9d5ff43055""","Leave Encashment","LE","0","1","0","0","0","","1","(transport+additional) / 26 * attendance_present","0","0","0","0","0","","""630e333634""","Leave without pay","LWP","0","0","0","0","0","","1","leave_without_pay*((B+V)/30)","0","0","0","0","0"
"","","","","","","","","","","","","","","","""11f4286345""","Flexible Benefit","FB","0","1","1","0","0","","0","(transport+additional) / 26 * attendance_present","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"","""Hour Head Office""","الرئيسى","Yes","","Monthly","1","Basic","10","0","0","","","","","""a30001001c""","Basic","B","0","1","0","0","0","","1","","0","0","0","0","0","","","","","","","","","","","","","","","","",""
